pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""Maturation of protein 3a"" pathway"	R-HSA-9694719	 Reactome	 hsapiens	 15	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694719
"""Transcription of SARS-CoV-2 sgRNAs"" pathway"	R-HSA-9694786	 Reactome	 hsapiens	 11	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694786
"""RND3 GTPase cycle"" pathway"	R-HSA-9696264	 Reactome	 hsapiens	 43	 83	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9696264
"""RND2 GTPase cycle"" pathway"	R-HSA-9696270	 Reactome	 hsapiens	 44	 85	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9696270
"""RND1 GTPase cycle"" pathway"	R-HSA-9696273	 Reactome	 hsapiens	 43	 83	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9696273
"""Disorders of Nervous System Development"" pathway"	R-HSA-9697154	 Reactome	 hsapiens	 14	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9697154
"""STAT5 activation downstream of FLT3 ITD mutants"" pathway"	R-HSA-9702518	 Reactome	 hsapiens	 17	 59	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9702518
"""Signaling by FLT3 fusion proteins"" pathway"	R-HSA-9703465	 Reactome	 hsapiens	 28	 177	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9703465
"""Signaling by FLT3 ITD and TKD mutants"" pathway"	R-HSA-9703648	 Reactome	 hsapiens	 25	 99	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9703648
"""Inactivation of CSF3 (G-CSF) signaling"" pathway"	R-HSA-9705462	 Reactome	 hsapiens	 25	 354	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9705462
"""RHOBTB3 ATPase cycle"" pathway"	R-HSA-9706019	 Reactome	 hsapiens	 14	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9706019
"""Negative regulation of FLT3"" pathway"	R-HSA-9706369	 Reactome	 hsapiens	 20	 93	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9706369
"""FLT3 signaling through SRC family kinases"" pathway"	R-HSA-9706374	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9706374
"""FLT3 signaling by CBL mutants"" pathway"	R-HSA-9706377	 Reactome	 hsapiens	 7	 17	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9706377
"""RHOBTB GTPase Cycle"" pathway"	R-HSA-9706574	 Reactome	 hsapiens	 36	 84	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9706574
"""Cytoprotection by HMOX1"" pathway"	R-HSA-9707564	 Reactome	 hsapiens	 150	 2094	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707564
"""Regulation of HMOX1 expression and activity"" pathway"	R-HSA-9707587	 Reactome	 hsapiens	 68	 1366	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707587
"""Heme signaling"" pathway"	R-HSA-9707616	 Reactome	 hsapiens	 64	 315	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707616
"""Regulation of BACH1 activity"" pathway"	R-HSA-9708530	 Reactome	 hsapiens	 12	 66	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9708530
"""Sensory Perception"" pathway"	R-HSA-9709957	 Reactome	 hsapiens	 678	 10031	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9709957
"""Defective pyroptosis"" pathway"	R-HSA-9710421	 Reactome	 hsapiens	 47	 626	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9710421
"""Cellular response to starvation"" pathway"	R-HSA-9711097	 Reactome	 hsapiens	 165	 6951	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9711097
"""Cellular response to chemical stress"" pathway"	R-HSA-9711123	 Reactome	 hsapiens	 199	 2519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9711123
"""Miro GTPase Cycle"" pathway"	R-HSA-9715370	 Reactome	 hsapiens	 12	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9715370
"""Signaling by Rho GTPases, Miro GTPases and RHOBTB3"" pathway"	R-HSA-9716542	 Reactome	 hsapiens	 696	 10566	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9716542
"""TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling"" pathway"	R-HSA-975110	 Reactome	 hsapiens	 13	 70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975110
"""TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"" pathway"	R-HSA-975138	 Reactome	 hsapiens	 101	 794	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975138
"""IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"" pathway"	R-HSA-975144	 Reactome	 hsapiens	 12	 54	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975144
"""MyD88 dependent cascade initiated on endosome"" pathway"	R-HSA-975155	 Reactome	 hsapiens	 102	 844	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975155
"""IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"" pathway"	R-HSA-975163	 Reactome	 hsapiens	 18	 88	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975163
"""N-glycan antennae elongation in the medial/trans-Golgi"" pathway"	R-HSA-975576	 Reactome	 hsapiens	 46	 89	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975576
"""Reactions specific to the complex N-glycan synthesis pathway"" pathway"	R-HSA-975578	 Reactome	 hsapiens	 28	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975578
"""Retinoid metabolism and transport"" pathway"	R-HSA-975634	 Reactome	 hsapiens	 79	 1144	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975634
"""MyD88 cascade initiated on plasma membrane"" pathway"	R-HSA-975871	 Reactome	 hsapiens	 94	 767	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975871
"""Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"" pathway"	R-HSA-975956	 Reactome	 hsapiens	 97	 4645	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975956
"""Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"" pathway"	R-HSA-975957	 Reactome	 hsapiens	 119	 10895	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975957
"""Termination of O-glycan biosynthesis"" pathway"	R-HSA-977068	 Reactome	 hsapiens	 28	 197	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977068
"""Amyloid fiber formation"" pathway"	R-HSA-977225	 Reactome	 hsapiens	 68	 453	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977225
"""Serine biosynthesis"" pathway"	R-HSA-977347	 Reactome	 hsapiens	 25	 76	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977347
"""GABA receptor activation"" pathway"	R-HSA-977443	 Reactome	 hsapiens	 67	 782	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977443
"""GABA B receptor activation"" pathway"	R-HSA-977444	 Reactome	 hsapiens	 49	 664	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977444
"""Regulation of Complement cascade"" pathway"	R-HSA-977606	 Reactome	 hsapiens	 138	 2506	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977606
"""Growth hormone receptor signaling"" pathway"	R-HSA-982772	 Reactome	 hsapiens	 29	 188	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-982772
"""Antigen processing: Ubiquitination & Proteasome degradation"" pathway"	R-HSA-983168	 Reactome	 hsapiens	 315	 22519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983168
"""Class I MHC mediated antigen processing & presentation"" pathway"	R-HSA-983169	 Reactome	 hsapiens	 472	 25875	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983169
"""Antigen Presentation: Folding, assembly and peptide loading of class I MHC"" pathway"	R-HSA-983170	 Reactome	 hsapiens	 101	 2407	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983170
"""Kinesins"" pathway"	R-HSA-983189	 Reactome	 hsapiens	 47	 106	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983189
"""Factors involved in megakaryocyte development and platelet production"" pathway"	R-HSA-983231	 Reactome	 hsapiens	 154	 303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983231
"""Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"" pathway"	R-HSA-983695	 Reactome	 hsapiens	 103	 3772	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983695
"""B Cell Activation"" pathway"	R-HSA-983705	 Reactome	 hsapiens	 188	 5387	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983705
"""Ion channel transport"" pathway"	R-HSA-983712	 Reactome	 hsapiens	 201	 3049	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983712
"""Activation of GABAB receptors"" pathway"	R-HSA-991365	 Reactome	 hsapiens	 49	 664	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-991365
"""Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"" pathway"	R-HSA-997272	 Reactome	 hsapiens	 31	 461	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-997272
"""ALKBH2 mediated reversal of alkylation damage"" pathway"	R-HSA-112122	 Reactome	 hsapiens	 8	 33	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112122
"""HCN channels"" pathway"	R-HSA-1296061	 Reactome	 hsapiens	 6	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296061
"""Mitochondrial ABC transporters"" pathway"	R-HSA-1369007	 Reactome	 hsapiens	 10	 40	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1369007
"""Amine Oxidase reactions"" pathway"	R-HSA-140179	 Reactome	 hsapiens	 22	 87	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140179
"""COX reactions"" pathway"	R-HSA-140180	 Reactome	 hsapiens	 9	 25	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140180
"""Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"" pathway"	R-HSA-141333	 Reactome	 hsapiens	 13	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141333
"""PAOs oxidise polyamines to amines"" pathway"	R-HSA-141334	 Reactome	 hsapiens	 13	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141334
"""Reversible hydration of carbon dioxide"" pathway"	R-HSA-1475029	 Reactome	 hsapiens	 17	 164	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1475029
"""Synthesis of CL"" pathway"	R-HSA-1483076	 Reactome	 hsapiens	 5	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483076
"""Synthesis of PS"" pathway"	R-HSA-1483101	 Reactome	 hsapiens	 8	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483101
"""Synthesis of BMP"" pathway"	R-HSA-1483171	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483171
"""Acetylation"" pathway"	R-HSA-156582	 Reactome	 hsapiens	 16	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156582
"""Mitochondrial Uncoupling"" pathway"	R-HSA-166187	 Reactome	 hsapiens	 18	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166187
"""The fatty acid cycling model"" pathway"	R-HSA-167826	 Reactome	 hsapiens	 8	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167826
"""The proton buffering model"" pathway"	R-HSA-167827	 Reactome	 hsapiens	 11	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167827
"""Conjugation of phenylacetate with glutamine"" pathway"	R-HSA-177162	 Reactome	 hsapiens	 10	 25	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-177162
"""Signaling by FGFR1 amplification mutants"" pathway"	R-HSA-1839120	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1839120
"""FGFR4 mutant receptor activation"" pathway"	R-HSA-1839128	 Reactome	 hsapiens	 3	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1839128
"""Synthesis of IPs in the ER lumen"" pathway"	R-HSA-1855231	 Reactome	 hsapiens	 9	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1855231
"""t(4;14) translocations of FGFR3"" pathway"	R-HSA-2033515	 Reactome	 hsapiens	 3	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2033515
"""Vitamins"" pathway"	R-HSA-211916	 Reactome	 hsapiens	 20	 106	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211916
"""Fatty acids"" pathway"	R-HSA-211935	 Reactome	 hsapiens	 29	 179	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211935
"""Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"" pathway"	R-HSA-211957	 Reactome	 hsapiens	 11	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211957
"""Miscellaneous substrates"" pathway"	R-HSA-211958	 Reactome	 hsapiens	 27	 120	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211958
"""Eicosanoids"" pathway"	R-HSA-211979	 Reactome	 hsapiens	 25	 175	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211979
"""Sterols are 12-hydroxylated by CYP8B1"" pathway"	R-HSA-211994	 Reactome	 hsapiens	 13	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211994
"""CYP2E1 reactions"" pathway"	R-HSA-211999	 Reactome	 hsapiens	 30	 311	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211999
"""Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"" pathway"	R-HSA-2142696	 Reactome	 hsapiens	 9	 19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142696
"""Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)"" pathway"	R-HSA-2142816	 Reactome	 hsapiens	 20	 105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142816
"""Phenylketonuria"" pathway"	R-HSA-2160456	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2160456
"""FMO oxidises nucleophiles"" pathway"	R-HSA-217271	 Reactome	 hsapiens	 16	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-217271
"""Mucopolysaccharidoses"" pathway"	R-HSA-2206281	 Reactome	 hsapiens	 36	 43	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2206281
"""MPS VI - Maroteaux-Lamy syndrome"" pathway"	R-HSA-2206285	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2206285
"""MPS II - Hunter syndrome"" pathway"	R-HSA-2206296	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2206296
"""Phosphate bond hydrolysis by NUDT proteins"" pathway"	R-HSA-2393930	 Reactome	 hsapiens	 31	 113	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2393930
"""Electron transport from NADPH to Ferredoxin"" pathway"	R-HSA-2395516	 Reactome	 hsapiens	 10	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2395516
"""Formation of selenosugars for excretion"" pathway"	R-HSA-2408499	 Reactome	 hsapiens	 12	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408499
"""Methylation of MeSeH for excretion"" pathway"	R-HSA-2408552	 Reactome	 hsapiens	 6	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408552
"""Biosynthesis of A2E, implicated in retinal degradation"" pathway"	R-HSA-2466712	 Reactome	 hsapiens	 8	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2466712
"""Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"" pathway"	R-HSA-2978092	 Reactome	 hsapiens	 6	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2978092
"""Regulation by TREX1"" pathway"	R-HSA-3248023	 Reactome	 hsapiens	 7	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3248023
"""Regulation of thyroid hormone activity"" pathway"	R-HSA-350864	 Reactome	 hsapiens	 9	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-350864
"""Metabolism of serotonin"" pathway"	R-HSA-380612	 Reactome	 hsapiens	 13	 33	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380612
"""NADPH regeneration"" pathway"	R-HSA-389542	 Reactome	 hsapiens	 7	 28	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389542
"""Lysosphingolipid and LPA receptors"" pathway"	R-HSA-419408	 Reactome	 hsapiens	 19	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-419408
"""Multifunctional anion exchangers"" pathway"	R-HSA-427601	 Reactome	 hsapiens	 19	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-427601
"""Proton/oligopeptide cotransporters"" pathway"	R-HSA-427975	 Reactome	 hsapiens	 9	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-427975
"""Passive transport by Aquaporins"" pathway"	R-HSA-432047	 Reactome	 hsapiens	 21	 116	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-432047
"""Synthesis of dolichyl-phosphate-glucose"" pathway"	R-HSA-480985	 Reactome	 hsapiens	 9	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-480985
"""Oxidative demethylation of DNA"" pathway"	R-HSA-5221030	 Reactome	 hsapiens	 13	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5221030
"""Metabolism of ingested MeSeO2H into MeSeH"" pathway"	R-HSA-5263617	 Reactome	 hsapiens	 9	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5263617
"""Defective AHCY causes HMAHCHD"" pathway"	R-HSA-5578997	 Reactome	 hsapiens	 4	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5578997
"""Defective GSS causes GSS deficiency"" pathway"	R-HSA-5579006	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5579006
"""Defective ACY1 causes encephalopathy"" pathway"	R-HSA-5579007	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5579007
"""Defective MAOA causes BRUNS"" pathway"	R-HSA-5579012	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5579012
"""Defective FMO3 causes TMAU"" pathway"	R-HSA-5579019	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5579019
"""Defective MAT1A causes MATD"" pathway"	R-HSA-5579024	 Reactome	 hsapiens	 6	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5579024
"""Defective PGM1 causes PGM1-CDG (CDG1t)"" pathway"	R-HSA-5609974	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5609974
"""Defective GALE can cause Epimerase-deficiency galactosemia (EDG)"" pathway"	R-HSA-5609977	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5609977
"""Metallothioneins bind metals"" pathway"	R-HSA-5661231	 Reactome	 hsapiens	 16	 32	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5661231
"""Metabolism of vitamin K"" pathway"	R-HSA-6806664	 Reactome	 hsapiens	 9	 19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806664
"""Pyrophosphate hydrolysis"" pathway"	R-HSA-71737	 Reactome	 hsapiens	 6	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71737
"""Transport of nucleotide sugars"" pathway"	R-HSA-727802	 Reactome	 hsapiens	 22	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-727802
"""PRPP biosynthesis"" pathway"	R-HSA-73843	 Reactome	 hsapiens	 11	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73843
"""mRNA Editing: A to I Conversion"" pathway"	R-HSA-75064	 Reactome	 hsapiens	 4	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75064
"""C6 deamination of adenosine"" pathway"	R-HSA-75102	 Reactome	 hsapiens	 4	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75102
"""Phosphate bond hydrolysis by NTPDase proteins"" pathway"	R-HSA-8850843	 Reactome	 hsapiens	 33	 312	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8850843
"""Signaling by FGFR2 fusions"" pathway"	R-HSA-8853333	 Reactome	 hsapiens	 3	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8853333
"""Signaling by plasma membrane FGFR1 fusions"" pathway"	R-HSA-8853336	 Reactome	 hsapiens	 5	 13	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8853336
"""Events associated with phagocytolytic activity of PMN cells"" pathway"	R-HSA-8941413	 Reactome	 hsapiens	 17	 50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8941413
"""Intestinal lipid absorption"" pathway"	R-HSA-8963678	 Reactome	 hsapiens	 4	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8963678
"""Alanine metabolism"" pathway"	R-HSA-8964540	 Reactome	 hsapiens	 6	 32	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8964540
"""Intracellular oxygen transport"" pathway"	R-HSA-8981607	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8981607
"""Biosynthesis of maresins"" pathway"	R-HSA-9018682	 Reactome	 hsapiens	 29	 117	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9018682
"""Biosynthesis of DPAn-6 SPMs"" pathway"	R-HSA-9025106	 Reactome	 hsapiens	 8	 17	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9025106
"""Biosynthesis of DHA-derived sulfido conjugates"" pathway"	R-HSA-9026395	 Reactome	 hsapiens	 23	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9026395
"""Biosynthesis of DPAn-3-derived 13-series resolvins"" pathway"	R-HSA-9026403	 Reactome	 hsapiens	 7	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9026403
"""Biosynthesis of maresin conjugates in tissue regeneration (MCTR)"" pathway"	R-HSA-9026762	 Reactome	 hsapiens	 10	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9026762
"""Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)"" pathway"	R-HSA-9026766	 Reactome	 hsapiens	 18	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9026766
"""Biosynthesis of maresin-like SPMs"" pathway"	R-HSA-9027307	 Reactome	 hsapiens	 21	 98	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9027307
"""Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives"" pathway"	R-HSA-9027604	 Reactome	 hsapiens	 29	 75	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9027604
"""Escape of Mtb from the phagocyte"" pathway"	R-HSA-9637679	 Reactome	 hsapiens	 6	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9637679
